timestamp,turn,decision,move,gold,life,number_of_mines
2025-12-12T11:57:11.577966,0,TAKE_NEAREST_MINE,North,0,100,0
2025-12-12T11:57:12.204547,4,TAKE_NEAREST_MINE,East,1,79,1
2025-12-12T11:57:12.832492,8,TAKE_NEAREST_MINE,East,2,78,1
2025-12-12T11:57:13.461067,12,TAKE_NEAREST_MINE,East,3,77,1
2025-12-12T11:57:14.112422,16,TAKE_NEAREST_MINE,East,4,76,1
2025-12-12T11:57:14.744446,20,TAKE_NEAREST_MINE,East,5,75,1
2025-12-12T11:57:15.375016,24,TAKE_NEAREST_MINE,North,6,74,1
2025-12-12T11:57:16.005837,28,TAKE_NEAREST_MINE,South,8,53,2
2025-12-12T11:57:16.636173,32,TAKE_NEAREST_MINE,South,10,52,2
2025-12-12T11:57:17.265757,36,TAKE_NEAREST_MINE,South,12,51,2
2025-12-12T11:57:17.894010,40,ATTACK_NEAREST,South,14,50,2
2025-12-12T11:57:18.530432,44,ATTACK_NEAREST,North,16,49,2
2025-12-12T11:57:19.161783,48,ATTACK_NEAREST,East,18,48,2
2025-12-12T11:57:19.790623,52,TAKE_NEAREST_MINE,South,20,47,2
2025-12-12T11:57:20.442172,56,TAKE_NEAREST_MINE,South,22,46,2
2025-12-12T11:57:21.097081,60,TAKE_NEAREST_MINE,South,24,45,2
2025-12-12T11:57:21.724237,64,TAKE_NEAREST_MINE,West,26,44,2
2025-12-12T11:57:22.353388,68,NEAREST_TAVERN,West,28,23,2
2025-12-12T11:57:22.978993,72,NEAREST_TAVERN,South,30,22,2
2025-12-12T11:57:23.633212,76,NEAREST_TAVERN,West,32,1,2
2025-12-12T11:57:24.264459,80,NEAREST_TAVERN,South,34,1,2
2025-12-12T11:57:24.892940,84,NEAREST_TAVERN,South,36,1,2
2025-12-12T11:57:25.525442,88,NEAREST_TAVERN,East,38,1,2
2025-12-12T11:57:26.155209,92,NEAREST_TAVERN,East,40,1,2
2025-12-12T11:57:26.786133,96,NEAREST_TAVERN,East,42,1,2
2025-12-12T11:57:27.414343,100,NEAREST_TAVERN,East,44,1,2
2025-12-12T11:57:28.043627,104,NEAREST_TAVERN,North,46,1,2
2025-12-12T11:57:28.672257,108,NEAREST_TAVERN,North,48,1,2
2025-12-12T11:57:29.304548,112,NEAREST_TAVERN,East,50,1,1
2025-12-12T11:57:29.934300,116,NEAREST_TAVERN,East,51,1,1
2025-12-12T11:57:30.563608,120,NEAREST_TAVERN,East,50,50,1
2025-12-12T11:57:31.190862,124,TAKE_NEAREST_MINE,South,49,99,1
2025-12-12T11:57:31.842094,128,TAKE_NEAREST_MINE,South,50,98,1
2025-12-12T11:57:32.471645,132,TAKE_NEAREST_MINE,West,51,97,1
2025-12-12T11:57:33.100869,136,TAKE_NEAREST_MINE,West,52,96,1
2025-12-12T11:57:33.723059,140,TAKE_NEAREST_MINE,West,53,95,1
2025-12-12T11:57:34.353571,144,TAKE_NEAREST_MINE,North,54,94,1
2025-12-12T11:57:34.985088,148,DEFEND_MINE,North,56,73,2
2025-12-12T11:57:35.613449,152,TAKE_NEAREST_MINE,West,58,72,2
2025-12-12T11:57:36.245307,156,TAKE_NEAREST_MINE,West,60,71,2
2025-12-12T11:57:36.875622,160,TAKE_NEAREST_MINE,West,62,70,2
2025-12-12T11:57:37.514540,164,TAKE_NEAREST_MINE,West,64,69,2
2025-12-12T11:57:38.143162,168,TAKE_NEAREST_MINE,West,66,68,2
2025-12-12T11:57:38.771579,172,TAKE_NEAREST_MINE,North,68,67,2
2025-12-12T11:57:39.422944,176,TAKE_NEAREST_MINE,East,71,46,3
2025-12-12T11:57:40.050047,180,TAKE_NEAREST_MINE,East,74,45,3
2025-12-12T11:57:40.703635,184,TAKE_NEAREST_MINE,North,77,44,3
2025-12-12T11:57:41.335443,188,TAKE_NEAREST_MINE,North,80,43,3
2025-12-12T11:57:41.968214,192,NEAREST_TAVERN,South,83,22,3
2025-12-12T11:57:42.604154,196,NEAREST_TAVERN,South,86,1,3
2025-12-12T11:57:43.232958,200,NEAREST_TAVERN,West,89,1,3
2025-12-12T11:57:43.865505,204,NEAREST_TAVERN,West,92,1,3
2025-12-12T11:57:44.493229,208,NEAREST_TAVERN,West,95,1,3
2025-12-12T11:57:45.126833,212,NEAREST_TAVERN,West,98,1,3
2025-12-12T11:57:45.755880,216,NEAREST_TAVERN,North,101,1,3
2025-12-12T11:57:46.385483,220,NEAREST_TAVERN,North,104,1,3
2025-12-12T11:57:47.015625,224,NEAREST_TAVERN,West,107,1,3
2025-12-12T11:57:47.632233,228,NEAREST_TAVERN,West,110,1,3
2025-12-12T11:57:48.279696,232,NEAREST_TAVERN,West,111,50,3
2025-12-12T11:57:48.932540,236,TAKE_NEAREST_MINE,South,112,99,3
2025-12-12T11:57:49.580630,240,DEFEND_MINE,East,115,98,3
2025-12-12T11:57:50.235383,244,DEFEND_MINE,South,118,97,3
2025-12-12T11:57:50.865228,248,TAKE_NEAREST_MINE,East,121,96,2
2025-12-12T11:57:51.494108,252,TAKE_NEAREST_MINE,East,123,95,2
2025-12-12T11:57:52.126307,256,TAKE_NEAREST_MINE,East,125,94,2
2025-12-12T11:57:52.758851,260,DEFEND_MINE,West,127,93,2
2025-12-12T11:57:53.384142,264,TAKE_NEAREST_MINE,East,129,92,2
2025-12-12T11:57:54.012849,268,TAKE_NEAREST_MINE,East,131,91,2
2025-12-12T11:57:54.661894,272,TAKE_NEAREST_MINE,East,133,90,2
2025-12-12T11:57:55.315887,276,DEFEND_MINE,North,135,89,2
2025-12-12T11:57:55.943571,280,DEFEND_MINE,North,137,88,2
2025-12-12T11:57:56.592209,284,DEFEND_MINE,North,139,87,2
2025-12-12T11:57:57.243931,288,ATTACK_NEAREST,South,141,86,2
2025-12-12T11:57:57.873471,292,ATTACK_NEAREST,East,143,85,2
2025-12-12T11:57:58.505933,296,ATTACK_NEAREST,East,145,64,2
2025-12-12T11:57:59.137239,300,ATTACK_NEAREST,East,147,43,2
2025-12-12T11:57:59.767870,304,NEAREST_TAVERN,West,150,22,3
2025-12-12T11:58:00.396174,308,NEAREST_TAVERN,South,153,21,2
2025-12-12T11:58:01.027367,312,NEAREST_TAVERN,South,155,20,2
2025-12-12T11:58:01.654879,316,NEAREST_TAVERN,East,157,19,2
2025-12-12T11:58:02.283698,320,NEAREST_TAVERN,East,159,18,2
2025-12-12T11:58:02.913078,324,NEAREST_TAVERN,East,161,17,2
2025-12-12T11:58:03.544428,328,NEAREST_TAVERN,East,163,16,2
2025-12-12T11:58:04.174397,332,NEAREST_TAVERN,North,165,15,2
2025-12-12T11:58:04.805510,336,NEAREST_TAVERN,North,167,14,2
2025-12-12T11:58:05.436719,340,NEAREST_TAVERN,East,169,13,2
2025-12-12T11:58:06.066256,344,NEAREST_TAVERN,East,171,12,2
2025-12-12T11:58:06.722266,348,NEAREST_TAVERN,East,171,61,2
2025-12-12T11:58:07.374015,352,TAKE_NEAREST_MINE,South,171,99,2
2025-12-12T11:58:08.014838,356,DEFEND_MINE,South,173,98,2
2025-12-12T11:58:08.651945,360,TAKE_NEAREST_MINE,West,175,97,2
2025-12-12T11:58:09.313797,364,DEFEND_MINE,West,177,96,2
2025-12-12T11:58:09.941349,368,DEFEND_MINE,West,179,95,2
2025-12-12T11:58:10.596793,372,DEFEND_MINE,West,181,94,2
2025-12-12T11:58:11.225179,376,TAKE_NEAREST_MINE,East,183,93,2
2025-12-12T11:58:11.855340,380,DEFEND_MINE,West,185,92,2
2025-12-12T11:58:12.503263,384,DEFEND_MINE,West,187,91,2
2025-12-12T11:58:13.135587,388,TAKE_NEAREST_MINE,East,189,90,2
2025-12-12T11:58:13.774934,392,TAKE_NEAREST_MINE,East,191,89,2
2025-12-12T11:58:14.405010,396,TAKE_NEAREST_MINE,North,193,88,2
2025-12-12T11:58:15.036153,400,TAKE_NEAREST_MINE,West,196,67,3
2025-12-12T11:58:15.666495,404,TAKE_NEAREST_MINE,West,199,66,3
2025-12-12T11:58:16.302703,408,TAKE_NEAREST_MINE,North,202,65,3
2025-12-12T11:58:16.937218,412,TAKE_NEAREST_MINE,North,205,64,3
2025-12-12T11:58:17.578345,416,TAKE_NEAREST_MINE,North,208,63,3
2025-12-12T11:58:18.215424,420,DEFEND_MINE,West,211,62,3
2025-12-12T11:58:18.846162,424,TAKE_NEAREST_MINE,North,214,61,3
2025-12-12T11:58:19.472737,428,ATTACK_NEAREST,West,217,40,3
2025-12-12T11:58:20.101604,432,NEAREST_TAVERN,South,220,19,3
2025-12-12T11:58:20.753433,436,NEAREST_TAVERN,South,223,18,2
2025-12-12T11:58:21.387080,440,NEAREST_TAVERN,South,225,17,2
2025-12-12T11:58:22.017545,444,NEAREST_TAVERN,South,227,16,2
2025-12-12T11:58:22.657660,448,DEFEND_MINE,North,229,15,2
2025-12-12T11:58:23.286824,452,DEFEND_MINE,North,231,14,2
2025-12-12T11:58:23.914785,456,DEFEND_MINE,North,233,13,2
2025-12-12T11:58:24.544083,460,NEAREST_TAVERN,South,235,12,2
2025-12-12T11:58:25.170750,464,TAKE_NEAREST_MINE,North,237,100,0
2025-12-12T11:58:25.827990,468,DEFEND_MINE,North,238,79,1
2025-12-12T11:58:26.467316,472,DEFEND_MINE,North,239,78,1
