timestamp,turn,decision,move,gold,life,number_of_mines
2025-12-12T11:55:04.157881,0,TAKE_NEAREST_MINE,North,0,100,0
2025-12-12T11:55:04.797741,4,TAKE_NEAREST_MINE,East,1,79,1
2025-12-12T11:55:05.434514,8,TAKE_NEAREST_MINE,East,2,78,1
2025-12-12T11:55:06.063580,12,TAKE_NEAREST_MINE,North,3,77,1
2025-12-12T11:55:06.694886,16,TAKE_NEAREST_MINE,North,4,76,1
2025-12-12T11:55:07.322630,20,TAKE_NEAREST_MINE,East,5,75,1
2025-12-12T11:55:07.953501,24,TAKE_NEAREST_MINE,East,6,74,1
2025-12-12T11:55:08.582553,28,TAKE_NEAREST_MINE,East,7,73,1
2025-12-12T11:55:09.213146,32,TAKE_NEAREST_MINE,South,8,72,1
2025-12-12T11:55:09.844640,36,TAKE_NEAREST_MINE,West,10,51,2
2025-12-12T11:55:10.483416,40,TAKE_NEAREST_MINE,West,12,50,2
2025-12-12T11:55:11.112659,44,TAKE_NEAREST_MINE,South,14,49,2
2025-12-12T11:55:11.741890,48,TAKE_NEAREST_MINE,South,16,48,2
2025-12-12T11:55:12.371294,52,TAKE_NEAREST_MINE,South,18,47,2
2025-12-12T11:55:13.007085,56,TAKE_NEAREST_MINE,South,20,46,2
2025-12-12T11:55:13.646661,60,TAKE_NEAREST_MINE,South,22,45,2
2025-12-12T11:55:14.274415,64,TAKE_NEAREST_MINE,South,24,44,2
2025-12-12T11:55:14.905621,68,TAKE_NEAREST_MINE,South,26,43,2
2025-12-12T11:55:15.537747,72,TAKE_NEAREST_MINE,South,28,42,2
2025-12-12T11:55:16.160268,76,TAKE_NEAREST_MINE,South,30,41,2
2025-12-12T11:55:16.812956,80,ATTACK_NEAREST,South,32,40,2
2025-12-12T11:55:17.469882,84,TAKE_NEAREST_MINE,North,35,39,3
2025-12-12T11:55:18.120386,88,TAKE_NEAREST_MINE,West,38,38,2
2025-12-12T11:55:18.768588,92,TAKE_NEAREST_MINE,West,40,37,2
2025-12-12T11:55:19.419230,96,TAKE_NEAREST_MINE,West,42,36,2
2025-12-12T11:55:20.068932,100,TAKE_NEAREST_MINE,South,44,35,2
2025-12-12T11:55:20.723089,104,NEAREST_TAVERN,East,47,14,3
2025-12-12T11:55:21.350120,108,NEAREST_TAVERN,East,50,13,3
2025-12-12T11:55:21.999978,112,NEAREST_TAVERN,South,53,12,3
2025-12-12T11:55:22.653829,116,NEAREST_TAVERN,South,56,11,3
2025-12-12T11:55:23.284637,120,NEAREST_TAVERN,West,59,10,3
2025-12-12T11:55:23.917254,124,NEAREST_TAVERN,West,62,9,3
2025-12-12T11:55:24.543068,128,NEAREST_TAVERN,West,65,8,3
2025-12-12T11:55:25.171601,132,NEAREST_TAVERN,West,68,7,3
2025-12-12T11:55:25.801332,136,NEAREST_TAVERN,North,71,6,3
2025-12-12T11:55:26.463955,140,NEAREST_TAVERN,North,74,5,3
2025-12-12T11:55:27.092491,144,NEAREST_TAVERN,West,77,4,3
2025-12-12T11:55:27.753952,148,NEAREST_TAVERN,West,80,3,3
2025-12-12T11:55:28.379924,152,NEAREST_TAVERN,West,81,52,3
2025-12-12T11:55:29.035900,156,TAKE_NEAREST_MINE,South,82,99,3
2025-12-12T11:55:29.663579,160,TAKE_NEAREST_MINE,East,85,98,3
2025-12-12T11:55:30.293060,164,TAKE_NEAREST_MINE,South,88,97,2
2025-12-12T11:55:30.923406,168,TAKE_NEAREST_MINE,East,90,96,2
2025-12-12T11:55:31.549508,172,TAKE_NEAREST_MINE,East,92,95,2
2025-12-12T11:55:32.202745,176,TAKE_NEAREST_MINE,East,94,94,2
2025-12-12T11:55:32.835600,180,TAKE_NEAREST_MINE,East,96,93,2
2025-12-12T11:55:33.464851,184,TAKE_NEAREST_MINE,East,98,92,2
2025-12-12T11:55:34.096267,188,TAKE_NEAREST_MINE,East,100,91,2
2025-12-12T11:55:34.731635,192,TAKE_NEAREST_MINE,East,102,90,2
2025-12-12T11:55:35.362264,196,TAKE_NEAREST_MINE,North,104,89,2
2025-12-12T11:55:35.992586,200,TAKE_NEAREST_MINE,West,107,68,3
2025-12-12T11:55:36.624319,204,DEFEND_MINE,East,110,67,3
2025-12-12T11:55:37.252474,208,TAKE_NEAREST_MINE,West,113,66,3
2025-12-12T11:55:37.882572,212,TAKE_NEAREST_MINE,West,116,65,3
2025-12-12T11:55:38.545533,216,TAKE_NEAREST_MINE,North,119,64,3
2025-12-12T11:55:39.180229,220,TAKE_NEAREST_MINE,South,122,63,2
2025-12-12T11:55:39.813565,224,TAKE_NEAREST_MINE,East,124,62,2
2025-12-12T11:55:40.444903,228,TAKE_NEAREST_MINE,East,126,61,2
2025-12-12T11:55:41.070271,232,TAKE_NEAREST_MINE,North,128,60,2
2025-12-12T11:55:41.720756,236,TAKE_NEAREST_MINE,West,131,39,3
2025-12-12T11:55:42.370159,240,TAKE_NEAREST_MINE,West,134,38,3
2025-12-12T11:55:43.025358,244,TAKE_NEAREST_MINE,North,137,37,3
2025-12-12T11:55:43.652654,248,TAKE_NEAREST_MINE,North,140,36,3
2025-12-12T11:55:44.280443,252,NEAREST_TAVERN,South,143,15,3
2025-12-12T11:55:44.931099,256,NEAREST_TAVERN,South,146,14,3
2025-12-12T11:55:45.581933,260,NEAREST_TAVERN,East,149,13,3
2025-12-12T11:55:46.231070,264,NEAREST_TAVERN,East,152,12,3
2025-12-12T11:55:46.881988,268,NEAREST_TAVERN,East,155,11,3
2025-12-12T11:55:47.545643,272,NEAREST_TAVERN,East,158,10,3
2025-12-12T11:55:48.174333,276,NEAREST_TAVERN,North,161,9,3
2025-12-12T11:55:48.800739,280,NEAREST_TAVERN,North,164,8,3
2025-12-12T11:55:49.452222,284,NEAREST_TAVERN,East,167,7,3
2025-12-12T11:55:50.079972,288,NEAREST_TAVERN,East,170,6,3
2025-12-12T11:55:50.715088,292,NEAREST_TAVERN,East,171,55,3
2025-12-12T11:55:51.341807,296,TAKE_NEAREST_MINE,North,172,99,3
2025-12-12T11:55:51.989899,300,TAKE_NEAREST_MINE,East,175,98,3
2025-12-12T11:55:52.641687,304,DEFEND_MINE,West,178,97,3
2025-12-12T11:55:53.272896,308,DEFEND_MINE,South,181,96,3
2025-12-12T11:55:53.904491,312,DEFEND_MINE,South,184,95,3
2025-12-12T11:55:54.538173,316,TAKE_NEAREST_MINE,North,187,94,3
2025-12-12T11:55:55.173338,320,TAKE_NEAREST_MINE,North,190,93,3
2025-12-12T11:55:55.804526,324,TAKE_NEAREST_MINE,East,193,92,3
2025-12-12T11:55:56.438160,328,TAKE_NEAREST_MINE,East,196,91,3
2025-12-12T11:55:57.075623,332,TAKE_NEAREST_MINE,North,199,90,3
2025-12-12T11:55:57.703911,336,TAKE_NEAREST_MINE,North,202,89,3
2025-12-12T11:55:58.335837,340,TAKE_NEAREST_MINE,North,205,88,3
2025-12-12T11:55:58.964093,344,TAKE_NEAREST_MINE,North,208,87,3
2025-12-12T11:55:59.595219,348,TAKE_NEAREST_MINE,North,211,86,3
2025-12-12T11:56:00.223174,352,TAKE_NEAREST_MINE,North,214,85,3
2025-12-12T11:56:00.852892,356,TAKE_NEAREST_MINE,North,217,84,3
2025-12-12T11:56:01.484298,360,TAKE_NEAREST_MINE,North,220,83,3
2025-12-12T11:56:02.112088,364,TAKE_NEAREST_MINE,West,223,82,3
2025-12-12T11:56:02.744267,368,TAKE_NEAREST_MINE,West,226,81,3
2025-12-12T11:56:03.372943,372,TAKE_NEAREST_MINE,West,229,80,3
2025-12-12T11:56:04.007424,376,TAKE_NEAREST_MINE,West,232,79,3
2025-12-12T11:56:04.635749,380,TAKE_NEAREST_MINE,West,235,78,3
2025-12-12T11:56:05.262492,384,DEFEND_MINE,West,238,77,3
2025-12-12T11:56:05.895399,388,DEFEND_MINE,West,241,76,3
2025-12-12T11:56:06.525340,392,DEFEND_MINE,South,244,75,2
2025-12-12T11:56:07.156353,396,DEFEND_MINE,South,246,74,2
2025-12-12T11:56:07.781457,400,DEFEND_MINE,South,248,73,2
2025-12-12T11:56:08.429612,404,DEFEND_MINE,South,250,72,2
2025-12-12T11:56:09.082599,408,DEFEND_MINE,South,252,71,2
2025-12-12T11:56:09.715819,412,TAKE_NEAREST_MINE,North,254,70,1
2025-12-12T11:56:10.343336,416,TAKE_NEAREST_MINE,North,255,49,1
2025-12-12T11:56:10.975592,420,TAKE_NEAREST_MINE,North,256,48,1
2025-12-12T11:56:11.599706,424,TAKE_NEAREST_MINE,East,257,47,1
2025-12-12T11:56:12.252444,428,TAKE_NEAREST_MINE,East,258,46,1
2025-12-12T11:56:12.914716,432,TAKE_NEAREST_MINE,North,259,45,1
2025-12-12T11:56:13.544604,436,NEAREST_TAVERN,West,261,24,2
2025-12-12T11:56:14.170594,440,NEAREST_TAVERN,West,263,23,2
2025-12-12T11:56:14.820102,444,NEAREST_TAVERN,North,265,22,2
2025-12-12T11:56:15.473120,448,NEAREST_TAVERN,North,267,21,2
2025-12-12T11:56:16.105523,452,NEAREST_TAVERN,East,269,20,1
2025-12-12T11:56:16.736448,456,NEAREST_TAVERN,East,270,19,1
2025-12-12T11:56:17.364736,460,NEAREST_TAVERN,East,271,18,1
2025-12-12T11:56:17.994502,464,NEAREST_TAVERN,East,272,17,1
2025-12-12T11:56:18.620859,468,NEAREST_TAVERN,South,273,16,1
2025-12-12T11:56:19.269484,472,NEAREST_TAVERN,South,274,15,1
2025-12-12T11:56:19.920251,476,NEAREST_TAVERN,East,275,14,1
2025-12-12T11:56:20.572617,480,NEAREST_TAVERN,East,276,13,1
2025-12-12T11:56:21.200676,484,NEAREST_TAVERN,East,275,62,1
2025-12-12T11:56:21.831066,488,TAKE_NEAREST_MINE,North,274,99,1
2025-12-12T11:56:22.479616,492,TAKE_NEAREST_MINE,North,275,98,1
2025-12-12T11:56:23.132914,496,TAKE_NEAREST_MINE,West,276,97,1
2025-12-12T11:56:23.760952,500,TAKE_NEAREST_MINE,West,277,96,1
2025-12-12T11:56:24.413021,504,TAKE_NEAREST_MINE,West,278,95,1
2025-12-12T11:56:25.045893,508,TAKE_NEAREST_MINE,West,279,94,1
2025-12-12T11:56:25.674658,512,TAKE_NEAREST_MINE,West,280,93,1
2025-12-12T11:56:26.306359,516,TAKE_NEAREST_MINE,East,281,92,0
2025-12-12T11:56:26.932428,520,TAKE_NEAREST_MINE,East,281,91,0
2025-12-12T11:56:27.563500,524,TAKE_NEAREST_MINE,South,281,90,0
2025-12-12T11:56:28.193051,528,TAKE_NEAREST_MINE,West,282,69,1
2025-12-12T11:56:28.823726,532,TAKE_NEAREST_MINE,West,283,68,1
2025-12-12T11:56:29.452149,536,TAKE_NEAREST_MINE,West,284,67,1
2025-12-12T11:56:30.080721,540,TAKE_NEAREST_MINE,West,285,66,1
2025-12-12T11:56:30.739413,544,TAKE_NEAREST_MINE,West,286,65,1
2025-12-12T11:56:31.389721,548,TAKE_NEAREST_MINE,South,287,64,1
2025-12-12T11:56:32.039795,552,TAKE_NEAREST_MINE,East,289,43,2
2025-12-12T11:56:32.693205,556,TAKE_NEAREST_MINE,East,291,42,2
2025-12-12T11:56:33.322292,560,TAKE_NEAREST_MINE,South,293,41,2
2025-12-12T11:56:33.957190,564,TAKE_NEAREST_MINE,South,295,40,2
2025-12-12T11:56:34.583509,568,TAKE_NEAREST_MINE,South,297,39,2
2025-12-12T11:56:35.216947,572,TAKE_NEAREST_MINE,South,299,38,2
2025-12-12T11:56:35.855132,576,TAKE_NEAREST_MINE,South,301,37,2
2025-12-12T11:56:36.482921,580,TAKE_NEAREST_MINE,South,303,36,2
2025-12-12T11:56:37.113643,584,TAKE_NEAREST_MINE,South,305,35,2
2025-12-12T11:56:37.743828,588,TAKE_NEAREST_MINE,South,307,34,2
2025-12-12T11:56:38.371329,592,ATTACK_NEAREST,South,309,33,2
2025-12-12T11:56:39.024894,596,TAKE_NEAREST_MINE,South,313,32,3
2025-12-12T11:56:39.653338,600,TAKE_NEAREST_MINE,North,316,31,3
2025-12-12T11:56:40.284171,604,TAKE_NEAREST_MINE,South,319,30,3
2025-12-12T11:56:40.914059,608,NEAREST_TAVERN,South,322,29,2
2025-12-12T11:56:41.545854,612,NEAREST_TAVERN,West,324,28,2
2025-12-12T11:56:42.171160,616,NEAREST_TAVERN,West,326,27,2
2025-12-12T11:56:42.822800,620,NEAREST_TAVERN,West,328,26,2
2025-12-12T11:56:43.453794,624,NEAREST_TAVERN,West,330,25,2
2025-12-12T11:56:44.082909,628,NEAREST_TAVERN,North,332,24,2
2025-12-12T11:56:44.713673,632,NEAREST_TAVERN,North,334,23,2
