timestamp,turn,decision,move,gold,life,number_of_mines
2025-12-12T12:03:36.110106,0,TAKE_NEAREST_MINE,North,0,100,0
2025-12-12T12:03:36.761864,4,TAKE_NEAREST_MINE,East,1,79,1
2025-12-12T12:03:37.419165,8,TAKE_NEAREST_MINE,East,2,78,1
2025-12-12T12:03:38.046025,12,TAKE_NEAREST_MINE,North,3,77,1
2025-12-12T12:03:38.677380,16,TAKE_NEAREST_MINE,North,4,76,1
2025-12-12T12:03:39.305586,20,TAKE_NEAREST_MINE,East,5,75,1
2025-12-12T12:03:39.955488,24,TAKE_NEAREST_MINE,East,6,74,1
2025-12-12T12:03:40.605519,28,TAKE_NEAREST_MINE,East,7,73,1
2025-12-12T12:03:41.236473,32,TAKE_NEAREST_MINE,South,8,72,1
2025-12-12T12:03:41.887864,36,TAKE_NEAREST_MINE,West,10,51,2
2025-12-12T12:03:42.514825,40,TAKE_NEAREST_MINE,West,12,50,2
2025-12-12T12:03:43.166678,44,TAKE_NEAREST_MINE,South,14,49,2
2025-12-12T12:03:43.797772,48,TAKE_NEAREST_MINE,South,16,48,2
2025-12-12T12:03:44.426892,52,NEAREST_TAVERN,North,18,27,2
2025-12-12T12:03:45.058802,56,NEAREST_TAVERN,North,20,6,2
2025-12-12T12:03:45.691498,60,NEAREST_TAVERN,East,22,5,2
2025-12-12T12:03:46.317544,64,NEAREST_TAVERN,East,24,4,2
2025-12-12T12:03:46.949565,68,NEAREST_TAVERN,East,26,3,2
2025-12-12T12:03:47.578759,72,NEAREST_TAVERN,East,28,2,2
2025-12-12T12:03:48.207865,76,NEAREST_TAVERN,South,30,1,2
2025-12-12T12:03:48.836982,80,NEAREST_TAVERN,South,32,1,2
2025-12-12T12:03:49.466633,84,NEAREST_TAVERN,East,34,1,2
2025-12-12T12:03:50.093637,88,NEAREST_TAVERN,East,36,1,2
2025-12-12T12:03:50.743905,92,NEAREST_TAVERN,East,36,50,2
2025-12-12T12:03:51.395106,96,TAKE_NEAREST_MINE,South,36,99,2
2025-12-12T12:03:52.045839,100,TAKE_NEAREST_MINE,East,38,98,2
2025-12-12T12:03:52.677974,104,TAKE_NEAREST_MINE,East,40,97,2
2025-12-12T12:03:53.309096,108,TAKE_NEAREST_MINE,South,42,96,2
2025-12-12T12:03:53.937034,112,TAKE_NEAREST_MINE,South,44,95,2
2025-12-12T12:03:54.566833,116,TAKE_NEAREST_MINE,South,46,94,2
2025-12-12T12:03:55.196358,120,TAKE_NEAREST_MINE,South,48,93,2
2025-12-12T12:03:55.826163,124,TAKE_NEAREST_MINE,South,50,92,2
2025-12-12T12:03:56.455784,128,TAKE_NEAREST_MINE,South,52,91,2
2025-12-12T12:03:57.089079,132,TAKE_NEAREST_MINE,South,54,90,2
2025-12-12T12:03:57.718854,136,TAKE_NEAREST_MINE,South,56,89,2
2025-12-12T12:03:58.348555,140,TAKE_NEAREST_MINE,West,58,88,2
2025-12-12T12:03:58.978601,144,TAKE_NEAREST_MINE,West,60,87,2
2025-12-12T12:03:59.607720,148,TAKE_NEAREST_MINE,West,62,86,2
2025-12-12T12:04:00.236529,152,TAKE_NEAREST_MINE,West,64,85,2
2025-12-12T12:04:00.867465,156,TAKE_NEAREST_MINE,West,66,84,2
2025-12-12T12:04:01.495967,160,TAKE_NEAREST_MINE,North,68,83,2
2025-12-12T12:04:02.148640,164,TAKE_NEAREST_MINE,West,71,62,3
2025-12-12T12:04:02.778487,168,TAKE_NEAREST_MINE,West,74,61,3
2025-12-12T12:04:03.409692,172,TAKE_NEAREST_MINE,West,77,60,3
2025-12-12T12:04:04.039833,176,TAKE_NEAREST_MINE,West,80,59,3
2025-12-12T12:04:04.667343,180,TAKE_NEAREST_MINE,West,83,58,3
2025-12-12T12:04:05.295640,184,TAKE_NEAREST_MINE,North,86,57,3
2025-12-12T12:04:05.957241,188,ATTACK_WEAKEST,East,90,36,4
