timestamp,turn,decision,move,gold,life,number_of_mines
2025-12-12T12:01:28.838004,0,TAKE_NEAREST_MINE,North,0,100,0
2025-12-12T12:01:29.465672,4,TAKE_NEAREST_MINE,South,1,79,1
2025-12-12T12:01:30.098767,8,TAKE_NEAREST_MINE,South,2,78,1
2025-12-12T12:01:30.732247,12,TAKE_NEAREST_MINE,South,3,77,1
2025-12-12T12:01:31.366249,16,TAKE_NEAREST_MINE,South,4,76,1
2025-12-12T12:01:32.000532,20,TAKE_NEAREST_MINE,South,5,75,1
2025-12-12T12:01:32.629404,24,TAKE_NEAREST_MINE,South,6,74,1
2025-12-12T12:01:33.257717,28,TAKE_NEAREST_MINE,South,7,73,1
2025-12-12T12:01:33.885542,32,TAKE_NEAREST_MINE,South,8,72,1
2025-12-12T12:01:34.548956,36,TAKE_NEAREST_MINE,East,10,51,2
2025-12-12T12:01:35.177885,40,TAKE_NEAREST_MINE,East,12,50,2
2025-12-12T12:01:35.806841,44,TAKE_NEAREST_MINE,East,14,49,2
2025-12-12T12:01:36.438789,48,NEAREST_TAVERN,South,16,28,2
2025-12-12T12:01:37.065139,52,NEAREST_TAVERN,South,18,7,2
2025-12-12T12:01:37.715666,56,NEAREST_TAVERN,East,20,6,2
2025-12-12T12:01:38.347181,60,NEAREST_TAVERN,East,22,5,2
2025-12-12T12:01:38.975360,64,NEAREST_TAVERN,East,24,4,2
2025-12-12T12:01:39.628963,68,NEAREST_TAVERN,East,26,3,2
2025-12-12T12:01:40.256368,72,NEAREST_TAVERN,North,28,2,2
2025-12-12T12:01:40.887019,76,NEAREST_TAVERN,North,30,1,2
2025-12-12T12:01:41.517607,80,NEAREST_TAVERN,East,32,1,2
2025-12-12T12:01:42.147627,84,NEAREST_TAVERN,East,34,1,2
2025-12-12T12:01:42.775715,88,NEAREST_TAVERN,East,34,50,2
2025-12-12T12:01:43.407209,92,TAKE_NEAREST_MINE,South,34,99,2
2025-12-12T12:01:44.038070,96,TAKE_NEAREST_MINE,South,36,98,2
2025-12-12T12:01:44.666320,100,TAKE_NEAREST_MINE,West,38,97,2
2025-12-12T12:01:45.296425,104,TAKE_NEAREST_MINE,West,40,96,2
2025-12-12T12:01:45.927736,108,TAKE_NEAREST_MINE,West,42,95,2
2025-12-12T12:01:46.558592,112,TAKE_NEAREST_MINE,North,44,94,2
2025-12-12T12:01:47.186822,116,TAKE_NEAREST_MINE,West,47,73,3
